APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
4,Platte- Standardplatte OSB 3 (2400 x 1250) 2.503 M2,27125024002503,1,Stück,PlatteL,,2.503,,"3,125",0,0,1,1,1250,2400,Wand 2 OSB 3 AW,46,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,2.503,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 2.531 M2,27125024002531,1,Stück,PlatteL,,2.531,,"3,125",0,0,1,1,1250,2400,Wand 2 OSB 3 IW,46,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,2.531,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 2.607 M2,27125024002607,1,Stück,PlatteL,,2.607,,"3,125",0,0,1,1,1250,2400,Wand 2 OSB 3 IW,47,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,2.607,M2,,,,,,1,1,0,0,,,,,,,,,
3,Alle Profil Wand 2,,1,Stück,Profil,,,,,0,0,1,1,,,,,,,,,2
4,Profil-4410 (Z1035) ,21103550001035,1,Stück,Profil,1035,,5000,,0,0,1,1,,,Wand 2 Profile ,5,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,2
5,,1000009,1035.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z1250) ,21125050001250,3,Stück,Profil,1250,,5000,,0,0,1,1,,,Wand 2 Profile ,5,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,2
